epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,8287.14,1.13126,0.62106,0.97615,0.80876,0.71355,0.78989,0.46345,1.33504,0.79565,1.10546,0.00151688,0.00151688,0.00151688
124,8354.21,1.11776,0.63004,0.98385,0.81835,0.70588,0.79797,0.47783,1.33478,0.81537,1.10918,0.00151292,0.00151292,0.00151292
125,8421.02,1.12349,0.62951,0.9789,0.72854,0.70279,0.74506,0.44754,1.36579,0.89647,1.12123,0.00150896,0.00150896,0.00150896
126,8488.05,1.13528,0.63413,0.99377,0.78209,0.69814,0.77997,0.46611,1.3907,0.90014,1.12798,0.001505,0.001505,0.001505
127,8555.11,1.15411,0.62997,0.99074,0.78767,0.71207,0.77832,0.46735,1.39277,0.90169,1.12995,0.00150104,0.00150104,0.00150104
128,8621.99,1.15556,0.62434,0.98726,0.78322,0.74385,0.81812,0.49269,1.3359,0.77052,1.0943,0.00149708,0.00149708,0.00149708
129,8689.03,1.13933,0.61879,0.9789,0.80771,0.75387,0.80924,0.49569,1.28503,0.76314,1.08753,0.00149312,0.00149312,0.00149312
130,8756.04,1.1111,0.6071,0.97719,0.78432,0.77709,0.82097,0.50358,1.29579,0.77654,1.09414,0.00148916,0.00148916,0.00148916
131,8823.26,1.10962,0.60884,0.96937,0.76659,0.73717,0.77027,0.46102,1.33617,0.83757,1.1196,0.0014852,0.0014852,0.0014852
132,8890.36,1.12119,0.6273,0.97596,0.76807,0.71258,0.78069,0.46381,1.37387,0.79803,1.12881,0.00148124,0.00148124,0.00148124
133,8957.37,1.11244,0.59483,0.97558,0.7986,0.73045,0.80074,0.47822,1.33714,0.79757,1.10747,0.00147728,0.00147728,0.00147728
134,9024.41,1.0844,0.57505,0.96719,0.78502,0.74049,0.80057,0.46419,1.43394,0.80237,1.14181,0.00147332,0.00147332,0.00147332
135,9091.16,1.15819,0.59527,0.98972,0.77916,0.70999,0.79664,0.45243,1.50101,0.85371,1.17183,0.00146936,0.00146936,0.00146936
136,9158.25,1.16226,0.59529,0.98849,0.81592,0.70743,0.79058,0.47784,1.29825,0.81994,1.09609,0.0014654,0.0014654,0.0014654
137,9225.26,1.13541,0.58949,0.9741,0.80454,0.76006,0.8065,0.48799,1.32719,0.74723,1.10828,0.00146144,0.00146144,0.00146144
138,9292.22,1.11543,0.58072,0.96825,0.79018,0.7678,0.80958,0.49088,1.28312,0.74838,1.09695,0.00145748,0.00145748,0.00145748
139,9359.23,1.05652,0.58091,0.94876,0.80681,0.70898,0.80163,0.48921,1.29951,0.82055,1.10125,0.00145352,0.00145352,0.00145352
140,9425.99,1.11538,0.59262,0.97391,0.71882,0.67492,0.73074,0.41668,1.4095,0.89276,1.14075,0.00144956,0.00144956,0.00144956
141,9493.08,1.1355,0.61307,0.98311,0.77786,0.73684,0.79246,0.43536,1.49334,0.85092,1.1618,0.0014456,0.0014456,0.0014456
142,9560.21,1.18126,0.60499,0.98123,0.78935,0.74613,0.81295,0.49593,1.31252,0.841,1.09821,0.00144164,0.00144164,0.00144164
143,9627.17,1.12974,0.60145,0.97332,0.8126,0.75177,0.82242,0.49393,1.29738,0.74558,1.09853,0.00143768,0.00143768,0.00143768
144,9694.18,1.16712,0.60314,0.99356,0.78519,0.7709,0.8188,0.49537,1.30354,0.75959,1.09696,0.00143372,0.00143372,0.00143372
145,9760.99,1.11093,0.59969,0.97022,0.80855,0.75387,0.82767,0.50493,1.27848,0.75605,1.08333,0.00142976,0.00142976,0.00142976
146,9828.46,1.1003,0.58369,0.96906,0.79693,0.76316,0.81629,0.48918,1.36759,0.76316,1.11774,0.0014258,0.0014258,0.0014258
147,9895.55,1.10343,0.5842,0.96876,0.78167,0.70279,0.78139,0.44674,1.40474,0.83941,1.13459,0.00142184,0.00142184,0.00142184
148,9962.36,1.14014,0.61799,0.98182,0.79706,0.69969,0.77583,0.45007,1.38141,0.81131,1.13266,0.00141788,0.00141788,0.00141788
